id,en,pt_BR
forest-1-1,,Herói: O que está acontecendo.
forest-1-2,,Herói: Eu não me lembro do que aconteceu.
forest-1-3,,"Herói: Eu estou caído nesse local escuro, sem nenhuma pista."
forest-1-4,,"Herói: Nossa, é verdade. Lembro-me de estar lutando com algo, mas acabei caindo..."
forest-1-5,,"Herói: O que está acontecendo, tudo está tremendo."
forest-1-6,,"Herói: Minha cabeça está doendo, mas não consigo me lembrar. "
forest-1-7,,???: ALGUÉM ME AJUDAAAAA!!!
forest-1-8,,Herói: De quem é essa voz...
forest-1-9,,Herói: Preciso ajudar essa pessoa.
forest-2-1,,Herói: Nossa essa carta quer dizer alguma coisa.
forest-2-2,,"Herói: Não é possível, é uma carta do reino."
forest-2-3,,Herói: Uma missão para acabar com o Lorde dos monstros a pedido do rei.
forest-2-4,,Herói: Talvez o grito esteja relacionado com essa essa carta...
forest-3-1,,Herói: Existe uma barreira na porta do castelo.
forest-3-2,,Herói: Preciso achar uma outra maneira de entrar.
subsolo-4-1,,Herói: Preciso acabar com esses esqueletos utilizando minha espada.
subsolo-5-1,,Herói: Essas plataformas são muito altas.
subsolo-6-1,,Herói: Você sabe de algo relacionado com a voz de antes?
subsolo-6-2,,"Guardião: Desculpe, mas não compreendo."
subsolo-6-3,,Guardião: Sou apenas o guardião da parte mais profunda do castelo.
subsolo-6-4,,"Monstro: E agora que você está aqui, está na hora de impedir sua jornada."
castle-7-1,,Herói: Finalmente consegui entrar no castelo.
castle-7-2,,Herói: Agora preciso descobrir onde está o lorde dos monstros.
castle-8-1,,"Herói: Outra passagem bloqueada, preciso achar uma maneira de passar."
vila-9-1,,"Herói: Poderia me ajudar, gostaria de saber se existe uma forma de atravessar passagens bloqueadas."
vila-9-2,,"Viajante: Do que está falando meu jovem, bloqueios?"
vila-9-3,,"Herói: Desculpa, não me apresentei. Sou um herói que está a trabalho do rei para derrotar um certo monstro."
vila-9-4,,"Viajante: Nossa, você deve ser uma pessoa importante. Fale-me mais sobre seu objetivo e vejo no que posso ajudá-lo."
vila-9-5,,"Herói: Então, não sei muitos dos detalhes, pois perdi um pouco das minhas memórias."
vila-9-6,,"Viajante: Deixe-me ver, talvez eu consiga visualizar algo com minha magia."
vila-9-7,,"Viajante: Nossa, você parece que acabou caindo em uma caverna e muito dos seus companheiros morreram. E a garota que estava com você acabou sendo levada para o castelo."
vila-9-8,,"Herói : Sim, eu ouvi um grito lá na floresta. Você conseguiria ajudar?"
vila-9-9,,"Viajante: Eu posso colocar uma magia na sua espada, vejo que o bloqueio que está falando possui um encantamento."
vila-9-10,,Herói: Muito obrigado.
boss-10-1,,Herói: Lorde dos monstros devolva minha companheira.
boss-10-2,,Lorde: Herói você conseguiu chegar até aqui. Mas agora será o seu fim.